newick	score	visit_count
((Mouse,Gorilla),((Chimp,Human),Orangutan),(Macaque,(Rat,(Cat,Dog))));	26.464289	1543
(Human,(((Rat,(Mouse,Dog)),Cat),Macaque),((Chimp,Gorilla),Orangutan));	29.642859	5
((Macaque,((Rat,(Mouse,Cat)),(Gorilla,Orangutan))),(Human,Chimp),Dog);	32.424603	4
(((Rat,(Mouse,Dog)),Cat),Macaque,((Chimp,(Human,Gorilla)),Orangutan));	22.738098	4
(((Macaque,(Mouse,(Dog,Rat))),((Human,Chimp),Gorilla)),Orangutan,Cat);	19.039684	10
(((Rat,Cat),(Mouse,Macaque)),(((Human,Chimp),Gorilla),Orangutan),Dog);	20.428572	32
(((Mouse,((Rat,Cat),(Macaque,Human))),(Gorilla,Orangutan)),Chimp,Dog);	44.035713	13
(((Rat,Macaque),(Gorilla,((Mouse,Cat),Orangutan))),(Human,Chimp),Dog);	41.436508	3
((Mouse,(Chimp,(Human,Gorilla))),Orangutan,(Macaque,(Rat,(Cat,Dog))));	29.595240	19
(Mouse,(Dog,((Macaque,(Chimp,(Human,Gorilla))),(Orangutan,Rat))),Cat);	27.646826	4
(((Macaque,Rat),((Chimp,Human),Gorilla)),(Mouse,Orangutan),(Cat,Dog));	27.158730	6
((((Human,Chimp),(Rat,(Mouse,Cat))),Macaque),(Gorilla,Orangutan),Dog);	38.650799	4
(((Dog,(Mouse,Rat)),((Human,Chimp),(Macaque,Gorilla))),Orangutan,Cat);	25.476189	24
((Human,(Cat,Macaque)),((Chimp,Gorilla),Orangutan),(Mouse,(Rat,Dog)));	32.650795	6
((((Rat,(Mouse,Cat)),Macaque),(Chimp,(Gorilla,Orangutan))),Human,Dog);	35.158733	6
(((Rat,(Macaque,Mouse)),((Chimp,Human),Gorilla)),Orangutan,(Cat,Dog));	25.896826	33
(((Cat,(Macaque,(Rat,Mouse))),((Chimp,Human),Gorilla)),Orangutan,Dog);	24.611109	12
(((Macaque,(Rat,Mouse)),(Chimp,(Human,Gorilla))),Orangutan,(Cat,Dog));	26.984129	16
((((Chimp,Human),Macaque),((Orangutan,Gorilla),Dog)),(Cat,Mouse),Rat);	35.325401	5
(((Human,(Chimp,Gorilla)),(Orangutan,Macaque)),(Rat,(Mouse,Cat)),Dog);	23.857143	5
(((Dog,(Human,(Chimp,Rat))),(Gorilla,(Mouse,Macaque))),Cat,Orangutan);	45.960312	9
(Macaque,((Human,Chimp),(((Rat,(Mouse,Dog)),Cat),Gorilla)),Orangutan);	28.277781	2
((Mouse,((Human,(Rat,Chimp)),Gorilla)),Orangutan,((Macaque,Dog),Cat));	43.325397	2
((((Rat,(Mouse,Cat)),Macaque),Orangutan),((Gorilla,Human),Chimp),Dog);	31.015873	17
(((Macaque,(Rat,Mouse)),Gorilla),Orangutan,(((Chimp,Human),Cat),Dog));	39.206356	18
((Macaque,(Rat,Mouse)),(Orangutan,((Chimp,Human),Gorilla)),(Cat,Dog));	14.253968	34
(((Chimp,Macaque),((Orangutan,Gorilla),Dog)),(Human,(Cat,Mouse)),Rat);	47.341278	3
((((Mouse,(Gorilla,(Macaque,Cat))),Human),(Rat,Orangutan)),Chimp,Dog);	50.376987	4
(((Rat,(Mouse,Cat)),Macaque),(((Human,Chimp),Gorilla),Orangutan),Dog);	19.658733	23
((Human,(Gorilla,Chimp)),(Cat,((Dog,Rat),(Mouse,Macaque))),Orangutan);	25.880955	10
(((Rat,Macaque),(((Mouse,Cat),Gorilla),Orangutan)),(Human,Chimp),Dog);	40.611111	14
(((Chimp,Human),((Rat,(Mouse,Cat)),Gorilla)),(Orangutan,Macaque),Dog);	37.075401	5
((Mouse,(((Human,Macaque),(Dog,(Chimp,Gorilla))),Rat)),Orangutan,Cat);	43.365082	2
((Macaque,Rat),((Mouse,Orangutan),((Chimp,Human),Gorilla)),(Cat,Dog));	24.781748	25
((((Rat,(Gorilla,(Macaque,(Mouse,Cat)))),Human),Orangutan),Chimp,Dog);	49.595242	2
((Mouse,(Human,Gorilla)),(Chimp,Orangutan),(Macaque,(Rat,(Cat,Dog))));	34.329369	18
((Orangutan,(Macaque,(Dog,(Mouse,Rat)))),((Human,Chimp),Gorilla),Cat);	21.301588	14
(((Dog,(Mouse,(Gorilla,Human))),Rat),(Orangutan,(Chimp,Macaque)),Cat);	49.388889	2
((((Mouse,Rat),(Macaque,Human)),(Gorilla,Orangutan)),(Cat,Chimp),Dog);	39.722221	52
((((Rat,(Gorilla,Cat)),(Macaque,Human)),(Mouse,Orangutan)),Chimp,Dog);	45.908730	7
(((Chimp,(Cat,Macaque)),((Human,(Orangutan,Gorilla)),Dog)),Mouse,Rat);	41.646832	1
((Mouse,((Macaque,(Chimp,Human)),Gorilla)),Orangutan,(Rat,(Cat,Dog)));	32.119049	42
((((Rat,(Mouse,Cat)),Macaque),(Gorilla,Orangutan)),(Human,Chimp),Dog);	28.253969	25
(((Dog,(Mouse,Rat)),(((Macaque,Human),Chimp),Gorilla)),Orangutan,Cat);	29.305553	2
((Macaque,Orangutan),((Chimp,Human),Gorilla),(((Rat,Mouse),Cat),Dog));	19.634920	35
(((Chimp,Macaque),((Human,(Orangutan,Gorilla)),Dog)),(Cat,Mouse),Rat);	40.789684	1
(((Macaque,(Rat,Mouse)),((Cat,(Chimp,Human)),Gorilla)),Orangutan,Dog);	28.134922	22
((Human,Chimp),(Cat,((Gorilla,(Dog,Rat)),(Mouse,Macaque))),Orangutan);	36.785717	8
((((Orangutan,Dog),Human),((Mouse,Gorilla),Rat)),(Chimp,Macaque),Cat);	48.698410	5
((Macaque,(((Rat,(Mouse,Cat)),Gorilla),Orangutan)),(Human,Chimp),Dog);	36.349209	7
(((Chimp,Gorilla),(Orangutan,Macaque)),(Human,(Rat,(Mouse,Cat))),Dog);	38.892857	2
(((Cat,(Macaque,Human)),(((Mouse,Rat),Gorilla),Orangutan)),Chimp,Dog);	41.884914	7
((Mouse,((Chimp,(Macaque,Human)),Gorilla)),Orangutan,(Rat,(Cat,Dog)));	34.031746	10
((Mouse,(Rat,((Chimp,Human),Gorilla))),Orangutan,(Macaque,(Cat,Dog)));	33.404762	8
((((Rat,(Mouse,(Gorilla,(Macaque,Cat)))),Human),Orangutan),Chimp,Dog);	51.531750	3
(Mouse,((Macaque,Orangutan),((Chimp,Human),(Rat,Gorilla))),(Cat,Dog));	29.202379	17
(Mouse,(Dog,((Macaque,(Chimp,Gorilla)),(Orangutan,(Human,Rat)))),Cat);	36.087303	3
(((Macaque,(Rat,Mouse)),(Human,(Chimp,Gorilla))),Orangutan,(Cat,Dog));	25.682541	13
(((Macaque,(Rat,Mouse)),(Dog,((Chimp,Human),Gorilla))),Orangutan,Cat);	24.984127	20
(((Chimp,(Human,Gorilla)),(Orangutan,Macaque)),(Rat,(Mouse,Cat)),Dog);	24.555557	5
(((Dog,((Gorilla,Human),Chimp)),(Rat,(Mouse,Macaque))),Cat,Orangutan);	33.158737	9
(((Rat,(Mouse,Cat)),(Gorilla,Orangutan)),((Macaque,Human),Chimp),Dog);	38.785713	18
((Mouse,(((Rat,Human),Chimp),Gorilla)),Orangutan,((Macaque,Dog),Cat));	43.603176	5
(((Macaque,Mouse),(Cat,((Chimp,Human),Gorilla))),Orangutan,(Rat,Dog));	30.174603	1
((Mouse,(Macaque,((Chimp,Human),Gorilla))),Orangutan,(Rat,(Cat,Dog)));	26.984123	33
((((Mouse,Cat),Macaque),((Rat,Gorilla),Orangutan)),(Human,Chimp),Dog);	35.738098	23
(((Human,Macaque),((Orangutan,Gorilla),Dog)),(Chimp,(Cat,Mouse)),Rat);	47.023815	5
(((Chimp,((Rat,(Mouse,Cat)),Macaque)),(Gorilla,Orangutan)),Human,Dog);	38.273811	1
((((Rat,(Mouse,Cat)),Macaque),((Human,Gorilla),Orangutan)),Chimp,Dog);	30.634922	3
((Mouse,(Chimp,Human)),Orangutan,((Gorilla,Macaque),(Rat,(Cat,Dog))));	34.071423	97
